                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.559,                 2.0677,                 1.5129,                0.86637,                0.37882,                0.66213,                0.35808,                 1.5239,                 2.3446,                 1.4579,             0.00054455,             0.00054455,             0.00054455
                      2,                 1.5169,                 1.5167,                 1.4533,                0.79784,                0.33553,                0.63436,                0.34692,                 1.6383,                 2.2574,                 1.5613,              0.0010567,              0.0010567,              0.0010567
                      3,                 1.5745,                 1.5101,                 1.5345,                0.76793,                0.63158,                0.77835,                0.38634,                 1.7623,                 1.6924,                 1.7034,              0.0015247,              0.0015247,              0.0015247
                      4,                 1.6013,                 1.4654,                 1.5213,                0.82456,                0.57037,                0.73226,                0.33575,                 1.7355,                 1.7407,                 1.6902,               0.001469,               0.001469,               0.001469
                      5,                 1.5881,                 1.4222,                 1.5185,                0.75865,                0.73331,                0.78469,                0.39685,                 1.7046,                 1.4946,                 1.6417,               0.001469,               0.001469,               0.001469
                      6,                 1.5962,                 1.3655,                 1.5155,                0.88211,                0.71589,                0.82849,                0.43443,                 1.6188,                  1.329,                 1.5238,              0.0014029,              0.0014029,              0.0014029
                      7,                 1.5506,                 1.3395,                 1.5077,                0.87469,                0.73951,                0.83098,                0.43125,                 1.6471,                 1.3103,                 1.5509,              0.0013369,              0.0013369,              0.0013369
                      8,                 1.5567,                 1.2853,                 1.4785,                0.86356,                0.73143,                0.82061,                0.43211,                 1.6063,                 1.3115,                  1.554,              0.0012709,              0.0012709,              0.0012709
                      9,                 1.5226,                 1.2457,                 1.4629,                  0.812,                0.75066,                 0.7909,                0.41765,                 1.6202,                  1.293,                 1.5695,              0.0012049,              0.0012049,              0.0012049
                     10,                 1.5115,                 1.2126,                 1.4583,                0.88009,                0.77616,                0.83487,                0.44222,                 1.5938,                 1.1905,                 1.5135,              0.0011389,              0.0011389,              0.0011389
                     11,                 1.4688,                 1.1392,                 1.4276,                0.86987,                0.77511,                0.86455,                0.46894,                 1.5967,                 1.1429,                 1.5423,              0.0010729,              0.0010729,              0.0010729
                     12,                 1.4495,                 1.1114,                 1.3977,                0.95217,                0.78681,                0.88133,                0.48665,                 1.5507,                 1.0181,                 1.4828,              0.0010069,              0.0010069,              0.0010069
                     13,                 1.4558,                 1.1079,                 1.3946,                0.93142,                0.71319,                 0.8523,                0.47096,                 1.5104,                 1.0897,                 1.4331,             0.00094085,             0.00094085,             0.00094085
                     14,                 1.4278,                 1.0671,                 1.3934,                0.89022,                0.86024,                0.92203,                0.50316,                 1.5313,                 0.9461,                 1.4211,             0.00087484,             0.00087484,             0.00087484
                     15,                 1.3922,                 1.0197,                 1.3604,                0.85209,                0.84595,                0.88672,                0.48197,                 1.5556,                0.99786,                 1.4624,             0.00080883,             0.00080883,             0.00080883
                     16,                 1.4079,                 1.0172,                 1.4412,                0.91826,                0.78371,                  0.869,                0.47503,                 1.5372,                  1.074,                 1.4682,             0.00074282,             0.00074282,             0.00074282
                     17,                 1.3753,                0.92988,                 1.4217,                 0.9149,                0.84413,                0.90243,                0.47605,                 1.5638,                0.92416,                 1.4884,              0.0006768,              0.0006768,              0.0006768
                     18,                 1.3405,                0.89698,                 1.3938,                 0.9374,                0.81821,                0.90096,                0.48208,                 1.5735,                0.89495,                 1.4588,             0.00061079,             0.00061079,             0.00061079
                     19,                 1.3086,                0.84677,                  1.351,                0.95747,                0.81988,                0.90499,                0.49229,                 1.5466,                0.91602,                 1.4651,             0.00054478,             0.00054478,             0.00054478
                     20,                 1.3054,                0.82228,                  1.367,                0.92619,                 0.8255,                0.89786,                0.50624,                 1.5449,                0.86419,                 1.4431,             0.00047876,             0.00047876,             0.00047876
                     21,                 1.2828,                 0.7975,                 1.3406,                0.90716,                0.83124,                0.89568,                0.52028,                 1.5098,                0.87861,                 1.4252,             0.00041275,             0.00041275,             0.00041275
                     22,                 1.2541,                0.76707,                 1.3373,                 0.9189,                0.83129,                0.89691,                0.51917,                 1.5055,                0.84178,                 1.4333,             0.00034674,             0.00034674,             0.00034674
                     23,                 1.2476,                0.75843,                 1.3371,                 0.9438,                0.83321,                 0.9139,                0.52745,                 1.5151,                0.85294,                 1.4256,             0.00028072,             0.00028072,             0.00028072
                     24,                 1.2305,                0.72818,                 1.3066,                 0.9558,                0.80621,                 0.9057,                0.53347,                 1.4779,                0.85588,                 1.4191,             0.00021471,             0.00021471,             0.00021471
                     25,                    1.2,                0.69404,                 1.2789,                0.92604,                0.83575,                0.90587,                 0.5253,                 1.5177,                0.81066,                 1.4415,              0.0001487,              0.0001487,              0.0001487
